,time_stamp,fault,joint,pose,offset,time,time_label,drop_rate,mean,sd,fault_effect
0,1970-01-01 00:01:36.343,3,2,7,7,1,3,3,-2,4,1
16,1970-01-01 00:03:12.448,2,7,7,6,2,2,1,1,2,5
17,1970-01-01 00:03:32.252,2,7,7,6,2,2,1,1,2,1
24,1970-01-01 00:07:07.097,4,3,2,9,4,3,1,-4,1,3
27,1970-01-01 00:09:11.294,1,7,6,1,4,2,1,-3,2,1
31,1970-01-01 00:01:24.061,4,4,2,2,3,3,1,5,5,2
32,1970-01-01 00:03:07.773,2,5,5,3,1,2,1,3,4,1
39,1970-01-01 00:06:38.300,1,3,3,1,2,2,2,-1,1,1
40,1970-01-01 00:06:38.692,1,3,3,1,2,2,2,-1,1,5
53,1970-01-01 00:10:18.630,1,7,1,9,3,3,1,4,4,5
56,1970-01-01 00:04:17.815,4,1,4,10,2,2,1,-1,4,5
58,1970-01-01 00:05:50.118,2,5,1,9,1,3,3,-3,4,1
68,1970-01-01 00:06:58.737,4,3,4,9,1,2,2,1,5,3
69,1970-01-01 00:07:00.746,4,3,4,9,1,2,2,1,5,4
70,1970-01-01 00:08:49.361,1,2,6,2,1,3,3,5,5,1
81,1970-01-01 00:04:26.207,3,5,2,2,3,2,3,3,2,1
85,1970-01-01 00:06:54.904,4,5,2,4,1,2,3,-1,3,5
87,1970-01-01 00:09:22.673,4,5,6,8,1,3,2,-2,1,1
94,1970-01-01 00:05:14.473,3,7,2,6,1,3,1,2,2,6
95,1970-01-01 00:05:16.114,3,7,2,6,1,3,1,2,2,1
96,1970-01-01 00:05:21.085,3,7,2,6,1,3,1,2,2,3
99,1970-01-01 00:09:11.094,2,7,9,3,3,3,3,-1,2,1
110,1970-01-01 00:07:29.622,4,4,8,9,2,2,1,-4,4,1
111,1970-01-01 00:04:09.926,2,7,8,2,2,2,1,-4,1,1
114,1970-01-01 00:09:08.951,4,5,1,3,2,3,1,-2,2,1
115,1970-01-01 00:02:07.835,4,5,1,2,4,2,2,-1,3,5
116,1970-01-01 00:04:30.864,1,8,9,4,4,2,1,-1,3,1
117,1970-01-01 00:05:43.565,2,3,1,4,5,3,1,-2,5,2
118,1970-01-01 00:08:41.223,1,1,4,5,1,2,2,-3,2,1
121,1970-01-01 00:10:26.360,4,3,2,9,5,2,1,4,4,3
122,1970-01-01 00:10:27.281,4,3,2,9,5,2,1,4,4,4
123,1970-01-01 00:10:29.042,4,3,2,9,5,2,1,4,4,5
124,1970-01-01 00:01:38.864,2,2,6,6,5,2,3,5,2,1
125,1970-01-01 00:05:35.996,1,1,6,3,1,3,2,3,5,1
126,1970-01-01 00:05:42.984,1,1,6,3,1,3,2,3,5,2
137,1970-01-01 00:01:04.970,3,4,2,4,5,3,1,2,5,6
150,1970-01-01 00:04:22.621,4,1,5,8,4,3,3,-1,2,1
153,1970-01-01 00:09:44.677,3,6,3,10,5,2,3,-5,2,1
163,1970-01-01 00:07:22.774,4,5,9,8,1,3,2,-4,3,1
164,1970-01-01 00:01:34.107,2,5,7,7,4,2,1,1,5,1
174,1970-01-01 00:05:18.605,4,2,3,3,1,3,2,-2,3,2
175,1970-01-01 00:05:20.352,4,2,3,3,1,3,2,-2,3,3
176,1970-01-01 00:05:20.729,4,2,3,3,1,3,2,-2,3,4
177,1970-01-01 00:04:49.374,4,5,1,4,4,3,3,-3,1,1
184,1970-01-01 00:09:58.757,3,6,8,7,3,3,3,1,1,1
185,1970-01-01 00:10:10.590,3,6,8,7,3,3,3,1,1,5
186,1970-01-01 00:01:34.933,1,1,7,9,2,3,1,-4,1,1
189,1970-01-01 00:06:30.976,3,1,2,8,5,3,1,5,3,6
190,1970-01-01 00:01:32.768,2,0,6,6,5,2,2,2,1,1
200,1970-01-01 00:05:48.368,3,0,2,10,2,3,1,-5,3,6
201,1970-01-01 00:01:35.037,3,7,8,8,3,2,2,-5,3,1
211,1970-01-01 00:04:37.737,3,0,8,2,4,3,1,2,4,6
214,1970-01-01 00:02:54.919,4,5,4,4,3,2,3,-5,2,1
222,1970-01-01 00:07:27.702,1,2,8,8,3,2,1,-4,3,4
224,1970-01-01 00:07:54.996,1,2,8,8,3,2,1,-4,3,2
240,1970-01-01 00:04:48.953,3,4,6,7,2,2,2,-4,4,1
241,1970-01-01 00:05:43.025,4,2,6,1,5,2,2,4,3,1
246,1970-01-01 00:01:33.445,3,3,2,10,2,3,2,-5,3,1
249,1970-01-01 00:02:01.035,1,3,8,5,2,2,1,-4,1,1
250,1970-01-01 00:02:05.134,1,3,8,5,2,2,1,-4,1,3
260,1970-01-01 00:04:19.012,1,1,5,2,1,2,1,5,3,5
267,1970-01-01 00:03:18.640,4,1,4,5,4,2,1,5,4,3
268,1970-01-01 00:03:21.473,4,1,4,5,4,2,1,5,4,2
273,1970-01-01 00:05:26.532,2,0,2,2,4,2,1,-1,1,1
274,1970-01-01 00:07:07.377,3,8,6,3,3,2,1,2,4,6
275,1970-01-01 00:01:37.635,3,4,5,5,4,2,1,5,2,1
276,1970-01-01 00:02:46.201,1,4,4,5,3,2,1,3,5,1
277,1970-01-01 00:02:55.183,1,4,4,5,3,2,1,3,5,2
280,1970-01-01 00:05:44.780,3,2,2,8,5,3,3,-3,5,6
283,1970-01-01 00:08:18.874,1,4,6,10,1,2,2,1,5,1
284,1970-01-01 00:09:45.103,2,8,9,4,5,3,3,5,3,1
285,1970-01-01 00:01:25.036,3,5,9,10,1,3,3,2,3,1
294,1970-01-01 00:08:37.234,1,2,4,2,5,3,2,1,5,5
306,1970-01-01 00:01:40.334,2,2,8,5,4,2,3,-4,5,1
309,1970-01-01 00:10:02.593,1,2,6,3,1,2,2,3,1,5
310,1970-01-01 00:10:02.978,1,2,6,3,1,2,2,3,1,1
314,1970-01-01 00:04:13.057,4,1,5,4,1,3,1,-3,4,1
315,1970-01-01 00:01:38.429,2,0,8,6,3,3,3,3,3,1
318,1970-01-01 00:08:09.284,4,4,5,3,2,2,1,1,1,1
319,1970-01-01 00:01:42.232,1,5,6,7,3,2,3,-5,3,1
320,1970-01-01 00:03:13.416,1,5,8,5,4,2,2,-4,1,1
330,1970-01-01 00:01:34.049,4,5,6,7,4,2,1,5,3,1
331,1970-01-01 00:01:58.123,4,5,6,7,4,2,1,5,3,2
334,1970-01-01 00:02:42.658,4,5,2,5,1,3,2,4,3,2
335,1970-01-01 00:03:39.260,4,5,2,5,1,3,2,4,3,1
345,1970-01-01 00:09:01.994,3,5,5,2,3,3,1,-5,3,1
348,1970-01-01 00:05:37.143,4,5,4,4,5,3,2,2,4,1
349,1970-01-01 00:05:38.216,4,5,4,4,5,3,2,2,4,3
355,1970-01-01 00:03:11.045,1,4,8,3,3,2,1,3,1,1
356,1970-01-01 00:01:42.043,3,7,6,6,1,3,1,4,3,6
357,1970-01-01 00:01:42.435,3,7,6,6,1,3,1,4,3,1
366,1970-01-01 00:01:15.064,1,3,3,2,4,2,3,1,2,3
373,1970-01-01 00:05:47.371,2,0,2,10,3,3,1,2,4,2
381,1970-01-01 00:02:48.052,4,1,6,1,1,2,3,1,2,2
391,1970-01-01 00:07:45.780,4,0,8,2,3,2,2,-2,3,1
392,1970-01-01 00:10:22.826,2,7,3,9,1,2,1,1,1,1
393,1970-01-01 00:01:45.490,1,2,6,9,3,3,3,-4,3,1
412,1970-01-01 00:01:34.637,1,3,8,9,3,3,3,-1,3,1
415,1970-01-01 00:08:03.541,1,4,4,7,2,3,2,-4,4,1
